"key","english","vietnamese","claude_note"
"emotions.anticipation-3-interested.overloadTip","To balance, consciously choose one focus area for now and capture other interests on a list for later, so you can explore with intention.","Để cân bằng, hãy có ý thức chọn một lĩnh vực tập trung hiện tại và ghi lại những mối quan tâm khác để sau này, để bạn có thể khám phá với chủ tâm.",""
"emotions.anticipation-3-interested.adaptivePurpose","Signals that your curiosity is activated and you see potential value in learning or exploring.","Báo hiệu rằng sự tò mò của bạn được kích hoạt và bạn thấy giá trị tiềm năng trong việc học hỏi hoặc khám phá.",""
"emotions.anticipation-3-interested.relatedFeelings","Impatient | Curious | Engaged","Nóng Lòng | Tò Mò | Hòa Nhập","Pipe-separated list"
"emotions.anticipation-3-interested.borderInfo","Interested is the thoughtful heart of Anticipation—attention drawn toward something worth exploring. It sits between Eager (ready to act) and Stressed (overwhelmed by demands).","Quan Tâm là trái tim suy nghĩ của Mong Đợi—sự chú ý hướng đến điều đáng khám phá. Nó nằm giữa Háo Hức (sẵn sàng hành động) và Căng Thẳng (bị áp đảo bởi đòi hỏi).",""
"emotions.anticipation-3-interested.story","""Tell me more about that."" Professor Walsh leaned forward, genuinely curious. The student's thesis proposal wasn't polished yet, but there was something there—an unexpected connection between fields that rarely spoke to each other. Her mind was already racing with questions, potential research directions, colleagues who might want to collaborate. This was why she loved academia.","""Hãy cho tôi biết thêm."" Giáo sư Walsh ngả người về phía trước, thực sự tò mò. Đề xuất luận văn của sinh viên chưa được đánh bóng, nhưng có điều gì đó ở đó—một kết nối bất ngờ giữa các lĩnh vực hiếm khi nói chuyện với nhau. Tâm trí cô đã đua thêm các câu hỏi, những hướng nghiên cứu tiềm năng, các đồng nghiệp có thể muốn cộng tác. Đây là lý do tại sao cô yêu học thuật.",""
"emotions.anticipation-4-stressed.name","Stressed","Căng Thẳng",""
"emotions.anticipation-4-stressed.category","Anticipation","Mong Đợi","Value MUST match getCategoryColor()/getCategoryClass() in script.js"
"emotions.anticipation-4-stressed.description","A state of mental or emotional strain from demanding circumstances. Stress signals that you're facing challenges that require energy and resources.","Trạng thái căng thẳng về tinh thần hoặc cảm xúc từ những hoàn cảnh đòi hỏi. Sự căng thẳng báo hiệu rằng bạn đang đối mặt với những thách thức đòi hỏi năng lượng và nguồn lực.",""
"emotions.anticipation-4-stressed.question","What pressures need attention? Where do you need relief, support, or clearer boundaries?","Những áp lực nào cần được chú ý? Bạn cần được giảm nhẹ, hỗ trợ hoặc ranh giới rõ ràng hơn ở đâu?",""
"emotions.anticipation-4-stressed.overloadRisk","If you over-use this feeling, you may run in crisis mode, make reactive decisions, or exhaust yourself.","Nếu bạn sử dụng cảm giác này quá mức, bạn có thể chạy ở chế độ khủng hoảng, đưa ra những quyết định phản ứng, hoặc kiệt sức.",""
"emotions.anticipation-4-stressed.overloadTip","To balance, identify one demand you can reduce, delegate, or delay and one brief practice that helps restore your energy or clarity.","Để cân bằng, hãy xác định một yêu cầu bạn có thể giảm, ủy thác hoặc trì hoãn và một thực hành ngắn giúp phục hồi năng lượng hay sự rõ ràng của bạn.",""
"emotions.anticipation-4-stressed.adaptivePurpose","Signals that demands feel greater than your current resources and something needs to change.","Báo hiệu rằng những yêu cầu cảm thấy lớn hơn nguồn lực hiện tại của bạn và có điều gì đó cần thay đổi.",""
"emotions.anticipation-4-stressed.relatedFeelings","Overwhelmed | Pressured | Tense","Quá Tải | Bị Áp Lực | Căng Thẳng Thần Kinh","Pipe-separated list"
"emotions.anticipation-4-stressed.borderInfo","Stressed is near Joy because it involves high energy focused on achieving positive outcomes.","Căng Thẳng gần với Niềm Vui vì nó liên quan đến năng lượng cao tập trung vào việc đạt được kết quả tích cực.",""
"emotions.anticipation-4-stressed.story","The wedding was in ten days. The caterer had just canceled. Her mother-in-law was ""suggesting"" seating chart changes. The alterations on her dress weren't done. And now, scrolling through her phone at midnight, Hannah discovered that the forecast called for rain. She could feel the pressure building behind her eyes, the familiar tightness in her chest. Something was going to have to give.","Đám cưới còn mười ngày nữa. Công ty cung cấp thức ăn vừa hủy. Mẹ chồng đang 'gợi ý' những thay đổi sơ đồ chỗ ngồi. Những chỉnh sửa trên chiếc váy của cô chưa xong. Và giờ, lướt điện thoại lúc nửa đêm, Hannah phát hiện dự báo thời tiết có mưa. Cô có thể cảm thấy áp lực dâng lên sau đôi mắt, sự căng thẳng quen thuộc trong lồng ngực. Có điều gì đó sẽ phải nhường thôi.",""
